.	0	2	11	12	22	25	27	32	37	41	
.	0	3703613	17105010	26988934	26988992	51676643	59861038	391043465	852641968	852641988	
.	1	2	11	12	22	25	27	32	37	
.	1	163373	11728247	22367936	22367968	41980443	50729427	383881931	852641988	
.	2	2	11	12	22	25	27	32	37	
.	2	3223	11191112	22604986	24215312	43171963	50425689	123324440	852641988	
.	3	2	11	12	22	25	27	32	37	
.	3	63315	11265366	21496832	24506325	43815909	49331728	78229753	852641988	
.	4	2	11	12	22	25	27	32	37	41	
.	4	38944	10689890	19803560	22482810	41116993	45680925	62870318	852641984	852641988	
.	5	2	11	12	22	25	27	32	37	41	
.	5	33818	11315271	19666625	22077415	41755334	46560131	59240702	563225484	852641988	
.	6	2	11	12	22	25	27	32	37	41	
.	6	3419	11740323	19929261	22424550	42614707	47496020	58503522	556665037	852641988	
.	7	2	11	12	22	25	27	32	37	41	
.	7	553	11703632	20059504	22693250	42772576	47675572	58060927	554852348	852641988	
.	8	2	11	12	22	25	27	32	37	41	
.	8	13372	12547098	20283757	22846279	43918858	48897412	58742711	552451097	852641988	
.	9	2	11	12	22	25	27	32	37	41	
.	9	608	11970232	19667300	22089252	42348803	46770326	56518360	550387751	852641988	
.	10	2	11	12	22	25	27	32	37	41	
.	10	42793	12134044	19796276	22159779	42528992	46795469	56366433	549298577	852641988	
.	11	2	11	12	22	25	27	32	37	41	
.	11	422	11651032	19481707	22223158	41909207	46400455	55607638	549617927	852641988	
.	12	2	11	12	22	25	27	32	37	41	
.	12	1450	11886883	20484455	23595602	43647184	48406207	57445424	551068887	852641988	
.	13	2	11	12	22	25	27	32	37	41	
.	13	4708	11844923	19765910	23192521	42954478	47706257	56564912	550871345	852641988	
.	14	2	11	12	22	25	27	32	37	41	
.	14	29666	12414121	20651236	24301059	44950113	49865482	58663923	552317914	852641988	
.	15	2	11	12	22	25	27	32	37	41	
.	15	610	12304881	20239415	23904636	44375695	49176562	57798521	551145748	852641988	
.	16	2	11	12	22	25	27	32	37	41	
.	16	10	12362582	21490513	25500036	46248564	51575549	61045745	556723481	852641988	
.	17	2	11	12	22	25	27	32	37	41	
.	17	75	11569252	20536798	24875739	43929036	49828452	59529482	559368968	852641988	
.	18	2	11	12	22	25	27	32	37	41	
.	18	43505	12872253	21970583	26302676	47538944	53621100	63418799	561139544	852641988	
.	19	2	11	12	22	25	27	32	37	41	
.	19	75880	12785654	22775371	27468101	47873638	54646102	64604988	564365888	852641988	
.	20	2	11	12	22	25	27	32	37	41	
.	20	5342	12889872	23081452	28206587	48930866	56434328	66011718	565907527	852641988	
.	21	2	11	12	22	25	27	32	37	41	
.	21	291	12271298	22178287	27478551	47325376	55215446	65127853	568627821	852641988	
.	22	2	11	12	22	25	27	32	37	41	
.	22	24030	12392588	22395829	27739756	47732324	55666500	65365443	567520543	852641988	
.	23	2	11	12	22	25	27	32	37	41	
.	23	67739	13280323	23063262	28103379	49430083	57184422	66415367	566631672	852641988	
.	24	2	11	12	22	25	27	32	37	41	
.	24	31	13922788	24741620	29966844	53515423	61682563	71222525	569295375	852641988	
.	25	2	11	12	22	25	27	32	37	41	
.	25	24195	12911326	23325306	28650012	49192349	57306679	66510769	566973641	852641988	
.	26	2	11	12	22	25	27	32	37	41	
.	26	1455	14317532	24381684	29492098	52972168	60973545	70160456	566822700	852641988	
.	27	2	11	12	22	25	27	32	37	41	
.	27	938	13727825	23488900	28575398	50228311	57959330	66934226	564734427	852641988	
.	28	2	11	12	22	25	27	32	37	41	
.	28	29796	14185100	25064112	30475219	52666898	60704416	70051285	567274929	852641988	
.	29	2	11	12	22	25	27	32	37	41	
.	29	55	13356468	23818429	29443439	50372596	58764091	68568033	569750744	852641988	
.	30	2	11	12	22	25	27	32	37	41	
.	30	15	14652154	24852022	30034759	53643011	61404939	70577452	565638868	852641988	
.	31	2	11	12	22	25	27	32	37	41	
.	31	17903	14465034	25091948	30492553	52874934	60967017	70365744	567382531	852641988	
.	32	2	11	12	22	25	27	32	37	41	
.	32	1661	14176480	25072770	30804492	52651265	61160254	71194867	570968358	852641988	
.	33	2	11	12	22	25	27	32	37	41	
.	33	1154	16191530	26843150	32163380	58880633	66764357	76086015	566949773	852641988	
.	34	2	11	12	22	25	27	32	37	41	
.	34	14746	14567192	25327424	30915268	53046950	61382260	70987292	568578569	852641988	
.	35	2	11	12	22	25	27	32	37	41	
.	35	12384	18036537	29337898	34773144	63703763	71818667	81173021	568125057	852641988	
.	36	2	11	12	22	25	27	32	37	41	
.	36	41164	15444782	26825311	32377488	56973828	65496318	75072918	570137759	852641988	
.	37	2	11	12	22	25	27	32	37	41	
.	37	122	14516538	26511788	32492051	54299502	63228793	73279055	572668382	852641988	
.	38	2	11	12	22	25	27	32	37	41	
.	38	5698	15450138	27490597	33831940	56571702	65913775	76468977	575279204	852641988	
.	39	2	11	12	22	25	27	32	37	41	
.	39	491	15275826	27626966	34000747	56480664	65717965	76387756	576224347	852641988	
.	40	2	11	12	22	25	27	32	37	41	
.	40	4594	16671393	28194600	34084276	59701306	68554870	78792133	573938834	852641988	
.	41	2	11	12	22	25	27	32	37	41	
.	41	44902	17041841	29299881	35204777	61530607	70538655	80935354	574999179	852641988	
.	42	2	11	12	22	25	27	32	37	41	
.	42	63418	16684169	29164304	35161351	60184225	69363109	79812258	575802292	852641988	
.	43	2	11	12	22	25	27	32	37	41	
.	43	1353	16087298	28569667	34817098	58060261	67400980	77956249	575869668	852641988	
.	44	2	11	12	22	25	27	32	37	41	
.	44	21706	17265370	29713133	35777749	61958823	70966211	81371639	575025643	852641988	
.	45	2	11	12	22	25	27	32	37	41	
.	45	465	16288244	28957879	35268605	58565367	67883951	78370983	575405174	852641988	
.	46	2	11	12	22	25	27	32	37	41	
.	46	48928	17215280	30126208	36384826	61527705	70831753	81288899	575655969	852641988	
.	47	2	11	12	22	25	27	32	37	41	
.	47	61	16452292	29262546	35755439	59248507	68842529	79647027	576849439	852641988	
.	48	2	11	12	22	25	27	32	37	41	
.	48	5226	17939792	31823501	38378581	63655398	73425744	84566678	579380035	852641988	
.	49	2	11	12	22	25	27	32	37	41	
.	49	12562	17553008	31258187	37871805	62537761	72575934	83882209	581358877	852641988	
.	50	2	11	12	22	25	27	32	37	41	
.	50	16082	17739600	31148271	37741824	63065516	72848439	84146928	579002245	852641988	
.	51	2	11	12	22	25	27	32	37	41	
.	51	17029	18296103	32412729	39055796	65589389	75464376	86816639	580201215	852641988	
.	52	2	11	12	22	25	27	32	37	41	
.	52	8323	18447511	32581601	39376814	64845362	75110848	86782911	581180460	852641988	
.	53	2	11	12	22	25	27	32	37	41	
.	53	26	18361008	32465177	39383812	64928594	75117575	87802316	581480106	852641988	
.	54	2	11	12	22	25	27	32	37	41	
.	54	15589	18400694	33355510	40335288	66010419	76331236	89365672	582827632	852641988	
.	55	2	11	12	22	25	27	32	37	41	
.	55	387	18578350	32796627	39813678	65471390	75871786	88844593	581925876	852641988	
.	56	2	11	12	22	25	27	32	37	41	
.	56	24717	17981138	32377760	39701737	64584254	75255718	89136846	584838434	852641988	
.	57	2	11	12	22	25	27	32	37	41	
.	57	85	17791752	32467554	39737351	64353836	74861139	88731063	584042649	852641988	
.	58	2	11	12	22	25	27	32	37	41	
.	58	2875	19818106	34450837	41595236	70188471	80701551	94259914	583840209	852641988	
.	59	2	11	12	22	25	27	32	37	41	
.	59	801	18450082	32915000	40088809	65319807	75780571	89347615	583116806	852641988	
.	60	2	11	12	22	25	27	32	37	41	
.	60	77620	18784893	33389342	40608894	66112500	76579179	90285259	583547583	852641988	
.	61	2	11	12	22	25	27	32	37	41	
.	61	1405	21566238	36228047	43336980	74826738	85187382	98829796	583456115	852641988	
.	62	2	11	12	22	25	27	32	37	41	
.	62	32003	19910410	34136179	41135871	68570860	78704920	92094332	581624631	852641988	
.	63	2	11	12	22	25	27	32	37	41	
.	63	1854	18830262	33426839	40628722	66320057	76709406	90556617	583214883	852641988	
.	64	2	11	12	22	25	27	32	37	41	
.	64	37	20016610	35240182	42513012	70585435	80958664	94951792	583663304	852641988	
.	65	2	11	12	22	25	27	32	37	41	
.	65	61426	19714218	35540556	43168922	69770534	80662296	95463368	586354826	852641988	
.	66	2	11	12	22	25	27	32	37	41	
.	66	51886	19891698	35814386	43879211	70311237	81575534	97287641	589974085	852641988	
.	67	2	11	12	22	25	27	32	37	41	
.	67	1207	25744456	41190416	48818890	83717425	94491232	109571139	587232710	852641988	
.	68	11	12	22	25	27	32	37	41	
.	68	21924048	37591995	45178848	76844105	87648961	102366292	587448870	852641988	
.	69	11	12	22	25	27	32	37	41	
.	69	21654508	38181041	45862900	76065864	86894876	101859406	587723012	852641988	
.	70	2	11	12	22	25	27	32	37	41	
.	70	58085	21001268	37653388	45767380	73689137	84872714	101154365	589331415	852641988	
.	71	2	11	12	22	25	27	32	37	41	
.	71	6111	21166010	37474320	45545460	75216088	86218224	102580757	589649206	852641988	
.	72	11	12	22	25	27	32	37	41	
.	72	22309875	39184258	47350888	77484945	88596996	105268472	590431922	852641988	
.	73	2	11	12	22	25	27	32	37	41	
.	73	41647	22630084	40108428	48505699	79123283	90431149	107146814	591909134	852641988	
.	74	2	11	12	22	25	27	32	37	41	
.	74	28961	22162269	39060237	47355839	77857440	89293861	105516035	592481843	852641988	
.	75	2	11	12	22	25	27	32	37	41	
.	75	46	22047982	38336945	55624670	85903953	100111461	134419490	655459705	852641988	
.	76	2	11	12	22	25	27	32	37	41	
.	76	2208	22443301	39263862	51277714	82179756	93187250	117131982	616324376	852641988	
.	77	2	11	12	22	25	27	32	37	41	
.	77	27137	25486972	42372576	52769258	87947182	98383749	118118105	600782511	852641988	
.	78	2	11	12	22	25	27	32	37	41	
.	78	26912	30672457	46093653	55746572	93647154	103232882	120952937	591905327	852641988	
.	79	2	11	12	22	25	27	32	37	41	
.	79	21182	33474027	48457721	57573750	101972169	110748479	127037466	586250283	852641988	
.	80	2	11	12	22	25	27	32	37	41	
.	80	251	24615744	41512375	51517655	83694659	92817463	107721573	584772268	852641988	
.	81	2	11	12	22	25	27	32	37	41	
.	81	37280	23755383	41240877	51304013	80553952	88721993	102710210	582054436	852641988	
.	82	2	11	12	22	25	27	32	37	41	
.	82	2639	23679586	41662674	51658072	80605999	88499901	102192643	581366230	852641988	
.	83	2	11	12	22	25	27	32	37	41	
.	83	40934	24039329	42413651	52550087	81778556	89613704	103355642	582073508	852641988	
.	84	2	11	12	22	25	27	32	37	41	
.	84	3591	24230328	42861484	52995500	82405863	90074032	103870097	582109059	852641988	
.	85	2	11	12	22	25	27	32	37	41	
.	85	58396	25378240	44371264	54611567	85447822	93149293	107082130	583029372	852641988	
.	86	11	12	22	25	27	32	37	41	
.	86	24581682	43900762	54376105	84250781	91872545	105874858	583450670	852641988	
.	87	2	11	12	22	25	27	32	37	41	
.	87	18497	23907419	42740226	53328704	82730965	90478276	104756795	584122803	852641988	
.	88	2	11	12	22	25	27	32	37	41	
.	88	1381	24451299	43633245	54126875	84235981	91844285	106155937	584414969	852641988	
.	89	2	11	12	22	25	27	32	37	41	
.	89	127	23954137	43397876	54007692	83709245	91416408	105854724	585220132	852641988	
.	90	2	11	12	22	25	27	32	37	41	
.	90	48391	24758695	44859126	55589830	86195943	94070880	108685631	586450601	852641988	
.	91	2	11	12	22	25	27	32	37	41	
.	91	106616	24611102	43987988	54834695	85134251	93002348	107718711	586169300	852641988	
.	92	2	11	12	22	25	27	32	37	41	
.	92	36898	24197372	43854984	54657342	84613404	92447526	107271080	586758288	852641988	
.	93	2	11	12	22	25	27	32	37	41	
.	93	31639	24031041	44146774	55063724	84902722	92805469	107713615	587542806	852641988	
.	94	2	11	12	22	25	27	32	37	41	
.	94	9890	24941500	44724730	55687353	86624051	94472294	109406130	587146878	852641988	
.	95	2	11	12	22	25	27	32	37	41	
.	95	1474	24393077	44531002	55562785	85648009	93607150	108672885	588209601	852641988	
.	96	2	11	12	22	25	27	32	37	41	
.	96	28237	24141809	44646621	55865076	85617643	93753872	109065276	589657121	852641988	
.	97	2	11	12	22	25	27	32	37	41	
.	97	819	24783562	45174305	56493217	86862748	94997470	110480897	590029796	852641988	
.	98	2	11	12	22	25	27	32	37	41	
.	98	164	24848650	45330334	56574614	87023741	95112621	110634209	589846158	852641988	
.	99	2	11	12	22	25	27	32	37	41	
.	99	42517	25129702	46272766	57759984	88406909	96642020	112323367	591594798	852641988	
.	100	2	11	12	22	25	27	32	37	41	
.	100	21461	26072883	46682363	58216236	90044474	98317117	114213263	591466653	852641988	
.	101	2	11	12	22	25	27	32	37	41	
.	101	18647	25468088	47074647	58706534	89766873	98207563	114318243	593250602	852641988	
.	102	2	11	12	22	25	27	32	37	41	
.	102	1269	25568816	47261130	59180385	90352338	98938416	115279350	594327318	852641988	
.	103	2	11	12	22	25	27	32	37	41	
.	103	46162	25761203	47952895	60036903	91253425	99876849	116398686	595645951	852641988	
.	104	2	8	11	12	22	25	27	32	37	41	
.	104	8550	90446	25697734	47611621	59896056	90953949	99769993	116619197	596399447	852641988	
.	105	2	8	11	12	22	25	27	32	37	41	
.	105	3711	88021	25815288	47930974	60210973	91380472	100054956	117151374	597055594	852641988	
.	106	2	8	11	12	22	25	27	32	37	41	
.	106	110	155132	26493612	49341521	61758897	93540908	102366635	119493776	598368511	852641988	
.	107	2	8	11	12	22	25	27	32	37	41	
.	107	18597	168868	26233457	49409068	62218361	93612565	102610492	120001706	600165728	852641988	
.	108	2	8	11	12	22	25	27	32	37	41	
.	108	35951	193430	26289232	48793790	61600309	93030810	102067540	119818289	600044190	852641988	
.	109	2	8	11	12	22	25	27	32	37	41	
.	109	16533	245833	26178223	48934455	61553841	92772430	101729187	119591062	600086495	852641988	
.	110	2	8	11	12	22	25	27	32	37	41	
.	110	360	284112	27056535	50222170	62868878	94956966	104068689	122093362	600799368	852641988	
.	111	2	8	11	12	22	25	27	32	37	41	
.	111	34237	320704	27015700	50122090	62901326	94809496	103911720	121991749	601231890	852641988	
.	112	2	8	11	12	22	25	27	32	37	41	
.	112	321	226999	27456788	51734519	64855789	97315716	106595767	124889330	604070010	852641988	
.	113	2	8	11	12	22	25	27	32	37	41	
.	113	30402	318669	28319603	52354611	65658009	98887727	108448444	127145463	605154007	852641988	
.	114	2	8	11	12	22	25	27	32	37	41	
.	114	27806	327096	28298864	52414053	65809873	99119087	108613067	127445864	606103674	852641988	
.	115	2	8	11	12	22	25	27	32	37	41	
.	115	80	371477	27764881	51937117	65430346	97952738	107447126	126299184	606825614	852641988	
.	116	2	8	11	12	22	25	27	32	37	41	
.	116	566	512605	28727279	52858213	66328911	99693302	109223631	128114360	607165941	852641988	
.	117	2	8	11	12	22	25	27	32	37	41	
.	117	2343	521219	29027055	53388112	66963672	100604070	110206983	129126617	608119540	852641988	
.	118	2	8	11	12	22	25	27	32	37	41	
.	118	30	517273	28291172	53077590	66652902	99434281	109153276	128137073	608852869	852641988	
.	119	2	8	11	12	22	25	27	32	37	41	
.	119	36119	563972	28031378	52896443	66597668	99224128	109144501	128156329	609646922	852641988	
.	120	2	8	11	12	22	25	27	32	37	41	
.	120	88	692814	28443939	53558496	67221516	99987004	110013973	129183999	610791763	852641988	
.	121	2	8	11	12	22	25	27	32	37	41	
.	121	65992	743612	28857797	55184605	69252119	102317257	112650328	132085139	613824061	852641988	
.	122	2	8	11	12	22	25	27	32	37	41	
.	122	3614	844979	29689949	55972892	70362465	104181895	114875757	134656630	615437701	852641988	
.	123	2	8	11	12	22	25	27	32	37	41	
.	123	67539	984460	30562733	56884816	71318132	105782188	116588798	136560808	616563883	852641988	
.	124	2	8	11	12	22	25	27	32	37	41	
.	124	2284	932184	31652606	58680914	73194506	108807688	119705580	139688744	617521980	852641988	
.	125	2	8	11	12	22	25	27	32	37	41	
.	125	1040	1043068	31768988	58256369	72940466	108543158	119494478	139506895	618276101	852641988	
.	126	2	8	11	12	22	25	27	32	37	41	
.	126	8654	1206446	31524941	58324573	73125523	108280331	119348868	139575252	620082063	852641988	
.	127	2	8	11	12	22	25	27	32	37	41	
.	127	25674	1452343	31521347	58720328	73681373	108724613	119735687	140181166	622177140	852641988	
.	128	2	8	11	12	22	25	27	32	37	41	
.	128	121	1294301	31954581	59443151	74702699	110110209	121430544	141942243	624046086	852641988	
.	129	2	8	11	12	22	25	27	32	37	41	
.	129	1168	1623928	31863663	59556448	74562604	109485132	120815701	141704878	624582969	852641988	
.	130	2	8	11	12	22	25	27	32	37	41	
.	130	130	1650095	32990539	61676953	76594532	112656021	123854374	144725852	626584737	852641988	
.	131	2	8	11	12	22	25	27	32	37	41	
.	131	68255	2173822	33297582	61522777	76992663	112772389	124243371	145820353	628443247	852641988	
.	132	2	8	11	12	22	25	27	32	37	41	
.	132	1457	2192595	33476694	62102354	77426622	113430901	124845645	146636038	629234707	852641988	
.	133	2	8	11	12	22	25	27	32	37	41	
.	133	182	2239024	34163436	63599416	78850274	115493301	127166231	148881638	630347554	852641988	
.	134	2	8	11	12	22	25	27	32	37	41	
.	134	5	2454815	34480444	63637753	79081665	115711822	127805797	149416602	630651401	852641988	
.	135	2	8	11	12	22	25	27	32	37	41	
.	135	239	2418891	33803745	63478806	78956489	114982231	127491735	148631304	631724615	852641988	
.	136	2	8	11	12	22	25	27	32	37	41	
.	136	12691	3288351	35090133	63863263	79628732	115996683	128908130	150811874	632982012	852641988	
.	137	2	8	11	12	22	25	27	32	37	41	
.	137	75311	3376624	34752265	64443268	80285597	116319264	129527958	151625263	635071104	852641988	
.	138	2	8	11	12	22	25	27	32	37	41	
.	138	37232	3584076	36615723	66505230	82781394	120669511	134214942	156710707	637270300	852641988	
.	139	2	8	11	12	22	25	27	32	37	41	
.	139	574	4276127	37547655	67349037	83608810	121433430	135479822	158245605	638528142	852641988	
.	140	2	8	11	12	22	25	27	32	37	41	
.	140	51833	4113174	36591752	66673724	83084973	120043778	134557793	157047544	639541986	852641988	
.	141	2	8	11	12	22	25	27	32	37	41	
.	141	25694	4521919	36200847	66258900	82765897	119005468	133595255	156652345	640693044	852641988	
.	142	2	8	11	12	22	25	27	32	37	41	
.	142	202	4547316	36861623	67255305	83755141	120719660	135545506	158597372	641533957	852641988	
.	143	2	8	11	12	22	25	27	32	37	41	
.	143	19938	4449443	38397875	69882007	86245152	124661981	139653139	162776648	643251428	852641988	
.	144	2	8	11	12	22	25	27	32	37	41	
.	144	4914	4720134	38006999	70122199	86206796	123930987	139106412	162399273	644291379	852641988	
.	145	2	8	11	12	22	25	27	32	37	41	
.	145	43414	4932643	37592142	69897702	85921456	123106446	138304010	161934958	645268198	852641988	
.	146	2	8	11	12	22	25	27	32	37	41	
.	146	14065	4883568	38691260	71637539	88179979	126224100	141988570	165848309	646832492	852641988	
.	147	2	8	11	12	22	25	27	32	37	41	
.	147	84	4899825	38436193	72313998	88583995	126401571	142475436	166501952	648440351	852641988	
.	148	2	8	11	12	22	25	27	32	37	41	
.	148	209	5086981	39943344	74935074	90422170	129356406	145511769	169645818	649072254	852641988	
.	149	2	8	11	12	22	25	27	32	37	41	
.	149	39660	5284115	40875775	75964893	91752921	131363862	147921822	172227951	650228385	852641988	
.	150	2	8	11	12	22	25	27	32	37	41	
.	150	80790	7843082	49915245	101228291	125670330	172073631	198832880	235300772	714562907	852641988	
A	0	11	12	22	25	27	32	37	41	
A	0	2637357	5154326	5154337	10140825	12364586	109917397	250717684	250717690	
A	1	11	12	22	25	27	32	37	
A	1	3084163	5523190	5523196	11290157	13520303	102773681	226169338	
A	2	11	12	22	25	27	32	37	
A	2	3044525	5930304	6368053	12112350	14126466	33902831	240498524	
A	3	11	12	22	25	27	32	37	
A	3	3034943	5346379	6052218	11955051	13322123	20391767	230369204	
A	4	11	12	22	25	27	32	37	41	
A	4	3321663	5842883	6643736	13299567	14674167	19849021	271555190	271555192	
A	5	11	12	22	25	27	32	37	41	
A	5	3963890	6446864	7170755	15209442	16736045	20738946	203346319	311108286	
A	6	11	12	22	25	27	32	37	41	
A	6	3120815	5075871	5661610	11779184	13008319	15628146	150522514	228519065	
A	7	11	12	22	25	27	32	37	41	
A	7	3405066	5576124	6240538	12962634	14306769	16995576	161145263	247838945	
A	8	11	12	22	25	27	32	37	41	
A	8	3454425	5253908	5817246	12357393	13595123	15915288	147348013	230038341	
A	9	11	12	22	25	27	32	37	41	
A	9	3503011	5411234	6004287	12711313	13893056	16381382	158830458	248648351	
A	10	11	12	22	25	27	32	37	41	
A	10	3515126	5401409	5970638	12661075	13787236	16219467	159634724	249912381	
A	11	11	12	22	25	27	32	37	41	
A	11	3370083	5332493	6005287	12508981	13727814	16121497	162131491	252803168	
A	12	11	12	22	25	27	32	37	41	
A	12	3455235	5663806	6419667	13089377	14378007	16701079	162422243	252673704	
A	13	11	12	22	25	27	32	37	41	
A	13	3451182	5417475	6238189	12767303	14033216	16272901	161446328	251958565	
A	14	11	12	22	25	27	32	37	41	
